level_0,index,English,Indonesian
281,281,tom s polite .,tom itu ramah .
282,282,tom s strict .,tom itu keras .
287,287,we re trying .,kami sedang mencoba .
288,288,what is this ?,ini apa ?
289,289,you re fools .,kamu bodoh .
292,292,are you happy ?,apa kamu senang ?
293,293,are you happy ?,apa anda bahagia ?
294,294,are you tired ?,kamu capek ?
297,297,do you get it ?,apa kamu paham ?
298,298,do you see it ?,apa kamu melihatnya ?
299,299,don t go away .,jangan pergi .
300,300,don t mock me .,jangan mengejekku .
328,328,i m not blind .,saya tidak buta .
329,329,i m on a diet .,aku sedang melakukan diet .
330,330,i m so hungry .,aku sangat lapar .
336,336,it s for sale .,ini dijual .
337,337,it s for sale .,ini untuk dijual .
338,338,it s upstairs .,ada di lantai atas .
363,363,tom is cranky .,tom bete .
364,364,tom is immune .,tom kebal .
365,365,tom is polite .,tom itu ramah .
367,367,tom was fired .,tom dipecat .
368,368,tom was happy .,tom merasa bahagia .
369,369,tom was lucky .,tom beruntung .
373,373,we re leaving .,kami berangkat .
376,376,what is a ufo ?,apa itu ufo ?
379,379,you re sleepy .,kamu ngantuk .
380,380,are you asleep ?,kamu sudah tidur ?
381,381,are you hungry ?,apa kau lapar ?
382,382,are you joking ?,apa kau bercanda ?
389,389,don t say that .,jangan katakan itu !
390,390,don t tease me .,jangan menggodaku .
391,391,don t you know ?,apa kamu tidak tahu ?
405,405,i am a student .,saya adalah seorang siswa .
406,406,i am in london .,aku ada di london .
422,422,i m a free man .,aku adalah lelaki yang bebas .
423,423,i m not a baby .,saya bukan bayi .
424,424,i m not joking .,aku tidak bercanda .
425,425,i m not joking .,aku tidak sedang bercanda .
426,426,i m not stupid .,saya tidak bodoh .
427,427,i m reasonable .,aku orang yang rasional .
428,428,i m sick of it .,aku muak dengan hal itu .
431,431,it s up to you .,terserah padamu .
437,437,she is running .,dia sedang lari
461,461,tom is at home .,tom ada di rumah .
462,462,tom is jittery .,tom gelisah .
463,463,tom is nervous .,tom gugup .
464,464,tom isn t weak .,tom tidak lemah .
466,466,tom was crying .,tom menangis .
467,467,tom was eating .,tom sedang makan tadi .
469,469,tom s not weak .,tom tidak lemah .
472,472,we re credible .,kami dapat dipercaya .
473,473,we re sociable .,kami seorang yang mudah bergaul .
474,474,what s so hard ?,apa susahnya sih ?
478,478,where s boston ?,boston itu di mana ?
479,479,where s my car ?,mobilku mana ?
484,484,are you certain ?,apakah kamu yakin ?
485,485,are you certain ?,apakah anda yakin ?
486,486,are you certain ?,apa kau yakin ?
487,487,are you in love ?,apa kamu sedang jatuh cinta ?
488,488,are you kidding ?,apa kau bercanda ?
489,489,are you serious ?,apa kau serius ?
495,495,do you have one ?,apa kamu punya satu ?
496,496,do you see that ?,apa kamu melihatnya ?
497,497,do you see this ?,apa kamu melihat ini ?
498,498,do you think so ?,apa kamu pikir begitu ?
499,499,don t get drunk .,jangan mabuk !
500,500,don t stay here .,jangan menetap di sini .
512,512,he s helping me .,dia menolongku .
513,513,he s my brother .,dia kakak laki lakiku .
514,514,he s my brother .,dia kakakku .
515,515,he s my brother .,dia adikku .
523,523,i am from spain .,saya berasal dari spanyol .
542,542,i m almost done .,aku hampir selesai .
543,543,i m going to go .,aku akan pergi .
544,544,i m going to go .,saya akan pergi .
545,545,i m not kidding .,aku tidak bercanda .
546,546,i m not kidding .,aku tidak sedang bercanda .
547,547,i m tired of it .,aku lelah dengan hal itu .
548,548,i m very hungry .,aku sangat lapar .
549,549,i m your friend .,aku temanmu .
560,560,it s no problem .,tidak masalah .
561,561,it s not a joke .,ini bukan lelucon .
562,562,it s not broken .,ini tidak rusak .
563,563,it s not enough .,ini tidak cukup .
564,564,it s not enough .,itu tidak cukup .
565,565,it s ridiculous .,ini konyol .
566,566,it s ridiculous .,itu konyol .
567,567,it s time to go .,sudah waktunya untuk pergi .
588,588,she s assertive .,ia tegas .
589,589,she s assertive .,dia tegas .
608,608,tom is home now .,tom sedang di rumah sekarang .
609,609,tom is my buddy .,tom adalah temanku .
610,610,tom is very old .,tom sangat tua .
617,617,tom seems upset .,tom sepertinya sedih .
618,618,tom was injured .,tom telah terluka .
619,619,tom was singing .,tom sedang bernyanyi tadi .
620,620,tom s concerned .,tom khawatir .
621,621,tom s dangerous .,tom itu berbahaya .
622,622,tom s my friend .,tom itu temanku .
629,629,we re ambitious .,kami ambisius .
630,630,what s going on ?,ada apa ?
631,631,what s happened ?,apa yang terjadi ?
632,632,what s your job ?,apa pekerjaanmu ?
636,636,where did he go ?,dia pergi ke mana ?
637,637,where did it go ?,ke mana perginya ?
638,638,where is my car ?,mobilku mana ?
639,639,where is my pen ?,di mana pulpenku ?
650,650,are you for real ?,apa kau serius ?
651,651,are you positive ?,apa kamu sudah positif ?
652,652,are you sleeping ?,kamu lagi tidur ?
659,659,do you cry often ?,apakah kamu sering menangis ?
660,660,do you live here ?,apakah kamu tinggal di sini ?
661,661,do you live here ?,apakah anda tinggal di sini ?
662,662,don t you get it ?,apa kamu tidak mengerti ?
667,667,he is my brother .,dia adalah adikku .
668,668,he is my brother .,dia adalah kakakku .
669,669,he is still here .,dia masih di sini .
683,683,i am not kidding .,aku tidak bercanda .
684,684,i am not kidding .,aku tidak sedang bercanda .
685,685,i am only joking .,saya hanya bergurau .
686,686,i am very hungry .,aku sangat lapar .
713,713,i m years old .,saya berusia tahun .
714,714,i m tom s driver .,saya supir tom .
715,715,i m a bookkeeper .,aku seorang penata buku .
716,716,i m an alcoholic .,saya kecanduan alkohol .
717,717,i m done working .,aku sudah selesai bekerja .
718,718,i m not a doctor .,aku bukan dokter .
719,719,i m not an idiot .,saya bukan idiot .
720,720,i m not bluffing .,aku tidak sedang menggertakmu .
721,721,i m proud of you .,aku bangga padamu .
722,722,i m sick of this .,aku muak dengan hal ini .
723,723,i m super hungry .,aku sangat lapar .
728,728,it s a nice town .,ini kota yang bagus .
729,729,it s not a trick .,ini bukan tipuan .
730,730,it s on the sofa .,itu ada di atas sofa .
731,731,it s very boring .,ini sangat membosankan .
757,757,she is mad at me .,dia marah padaku .
758,758,she is not young .,dia tidak muda .
759,759,she s helping me .,dia menolongku .
760,760,she s not a liar .,dia bukan seorang pembohong .
779,779,tom is a student .,tom adalah seorang siswa .
780,780,tom is courteous .,tom itu ramah .
781,781,tom is easygoing .,tom itu santai .
782,782,tom is forgetful .,tom itu pelupa .
783,783,tom is my friend .,tom adalah temanku .
784,784,tom isn t famous .,tom tidak terkenal .
788,788,tom sounds upset .,tom sepertinya sedih .
789,789,tom studies hard .,tom belajar dengan tekun .
791,791,tom was divorced .,tom diceraikan .
792,792,tom was poisoned .,tom keracunan .
793,793,tom was worn out .,tom kelelahan .
795,795,tom s quite good .,tom lumayan bagus .
800,800,we re nonsmokers .,kami bukan perokok .
810,810,what is going on ?,ada apa ?
813,813,what s your name ?,siapa namamu ?
814,814,where did you go ?,ke mana kamu pergi ?
815,815,where is customs ?,di mana bea dan cukai ?
828,828,you re too young .,kamu itu masih bau kencur .
830,830,are you all ready ?,apa kalian semua sudah siap ?
831,831,are you all right ?,kamu tidak apa apa ?
836,836,do you have a pen ?,apa kau punya pulpen ?
838,838,don t pull my leg !,jangan mempermainkanku !
839,839,don t you feel it ?,apa kamu merasakannya ?
840,840,don t you hear it ?,apa kamu mendengarnya ?
841,841,don t you see tom ?,apakah kamu melihat tom ?
845,845,he is a quiet man .,dia orangnya pendiam .
852,852,i am not a doctor .,saya bukan dokter .
882,882,i m a human being .,aku adalah manusia .
883,883,i m an accountant .,aku seorang akuntan .
884,884,i m not a student .,aku bukan pelajar .
885,885,i m not a student .,aku bukan siswa .
886,886,i m not a student .,saya bukan siswa .
887,887,i m not into that .,aku tidak begitu suka dengan hal semacam itu .
888,888,i m really hungry .,aku sangat lapar .
889,889,i m tired of this .,aku lelah dengan hal ini .
894,894,it should be fine .,semuanya akan baik baik saja .
896,896,it s all my fault .,ini semua salahku .
897,897,it s confidential .,ini rahasia .
898,898,it s my only hope .,ini satu satunya harapan saya .
899,899,it s not my fault .,itu bukan salahku .
900,900,it s pretty weird .,itu sangat aneh .
901,901,it s starting now .,sudah dimulai sekarang .
922,922,she is aggressive .,dia agresif .
951,951,tom is a bit pale .,tom agak pucat .
952,952,tom is a bookworm .,tom itu kutu buku .
953,953,tom is a good guy .,tom adalah pria yang baik .
954,954,tom is a good man .,tom adalah pria yang baik .
955,955,tom is a murderer .,tom seorang pembunuh .
956,956,tom is distressed .,tom tertekan .
957,957,tom is having fun .,tom sedang bersenang senang .
958,958,tom is in the car .,tom sedang berada di dalam mobil .
959,959,tom is not famous .,tom tidak terkenal .
960,960,tom is quite good .,tom lumayan bagus .
961,961,tom is stuttering .,tom berbicara dengan gagap .
962,962,tom is unemployed .,tom adalah seorang penganggur .
963,963,tom is very funny .,tom sangat lucu .
964,964,tom isn t thirsty .,tom tidak haus .
969,969,tom seems puzzled .,tom sepertinya kebingungan .
970,970,tom seems shocked .,tom sepertinya syok .
971,971,tom seems stunned .,tom sepertinya terkejut .
972,972,tom set the table .,tom mengatur meja .
973,973,tom shut his eyes .,tom memejamkan mata .
974,974,tom staggered out .,tom terhuyung huyung keluar .
975,975,tom stood in line .,tom berjajar dalam barisan .
977,977,tom was delighted .,tom merasa gembira .
978,978,tom was exhausted .,tom kelelahan .
979,979,tom was fortunate .,tom beruntung .
988,988,we re helping tom .,kami sedang membantu tom .
996,996,what is the price ?,berapa harganya ?
997,997,what is your name ?,siapa nama anda ?
998,998,what is your name ?,siapa namamu ?
1000,1000,what s the matter ?,ada apa ?
1001,1001,what s the matter ?,ada masalah apa ?
1002,1002,what s the matter ?,ada masalah ?
1003,1003,what s your major ?,jurusanmu apa ?
1004,1004,what s your score ?,berapa nilaimu ?
1006,1006,where did they go ?,ke mana mereka pergi ?
1007,1007,where did you eat ?,kamu makan di mana ?
1008,1008,where is he going ?,dia pergi ke mana ?
1009,1009,where is my watch ?,di mana jamku ?
1010,1010,where s tom today ?,di mana tom hari ini ?
1011,1011,where s your coat ?,mana jasmu ?
1019,1019,you are in my way .,kau berada di jalanku .
1025,1025,you re a murderer .,kau seorang pembunuh .
1026,1026,you re aggressive .,kau agresif .
1029,1029,are you down there ?,apakah kamu di sana ?
1030,1030,are you down there ?,apakah kamu di situ ?
1031,1031,are you in a hurry ?,apa kamu sedang terburu buru ?
1032,1032,are you kidding me ?,apa kau bercanda ?
1033,1033,are you quite sure ?,apa kau sudah cukup yakin ?
1034,1034,are you sure of it ?,apa kau yakin dengan hal itu ?
1035,1035,are you vegetarian ?,apa kau nabatiwan ?
1041,1041,do you feel guilty ?,apa kamu merasa bersalah ?
1042,1042,do you feel guilty ?,apa anda merasa bersalah ?
1043,1043,do you feel guilty ?,apakah kamu merasa bersalah ?
1044,1044,do you feel guilty ?,apakah anda merasa bersalah ?
1045,1045,do you have a plan ?,apa kau memiliki sebuah rencana ?
1046,1046,do you know kabuki ?,apakah kamu tahu kabuki ?
1047,1047,do you like it all ?,apa kamu suka semuanya ?
1048,1048,do you need a hand ?,apa kamu butuh bantuan ?
1049,1049,do you remember us ?,apa kau mengingat kami ?
1050,1050,do you want to try ?,anda ingin mencoba ?
1053,1053,don t give me that .,jangan berikan itu padaku !
1054,1054,don t say his name .,jangan sebut namanya .
1055,1055,don t throw stones .,jangan melempar batu .
1056,1056,don t touch my car .,jangan sentuh mobilku .
1074,1074,i am not a student .,aku bukan pelajar .
1075,1075,i am not a student .,aku bukan siswa .
1076,1076,i am not a student .,saya bukan siswa .
1077,1077,i am sorry for you .,saya turut berduka .
1107,1107,i m from singapore .,saya dari singapura .
1108,1108,i m getting hungry .,aku mulai lapar .
1109,1109,i m giving it back .,aku mengembalikannya .
1110,1110,i m going downtown .,aku mau pergi ke pusat kota .
1111,1111,i m going with you .,aku akan pergi denganmu .
1112,1112,i m holding a book .,aku menggenggam sebuah buku .
1113,1113,i m not going back .,aku tidak akan kembali .
1121,1121,it s already seven .,ini sudah jam tujuh .
1122,1122,it s already seven .,sudah jam tujuh .
1123,1123,it s very relaxing .,ini sangat menenangkan .
1144,1144,she s from somalia .,dia dari somalia
1178,1178,tom is mary s boss .,tom adalah bos dari mary .
1179,1179,tom is a bartender .,tom adalah seorang pelayan bar .
1180,1180,tom is a good cook .,tom adalah seorang yang pandai memasak .
1181,1181,tom is at home now .,tom sedang di rumah sekarang .
1182,1182,tom is on the dock .,tom ada di dok .
1183,1183,tom is pretty good .,tom sangat bagus .
1190,1190,tom seems confused .,tom sepertinya kebingungan .
1191,1191,tom should be here .,tom seharusnya ada di sini .
1202,1202,we re closed today .,hari ini kami tutup .
1203,1203,we re out of money .,uang kami habis .
1205,1205,what a stupid joke !,dasar lelucon bego !
1208,1208,what is my purpose ?,apa tujuan yang ingin aku capai ?
1209,1209,what should i wear ?,baju mana yang mesti aku pakai ?
1210,1210,what s the problem ?,ada masalah apa ?
1211,1211,what s the problem ?,ada masalah ?
1212,1212,what s this called ?,disebut apa ini ?
1215,1215,where did you stay ?,di mana anda menginap ?
1217,1217,where is your coat ?,di mana jasmu ?
1232,1232,you are very brave .,kamu berani sekali .
1236,1236,you re interfering .,kau menghalangi .
1237,1237,you re quite right .,kau memang benar .
1238,1238,you re still green .,kamu itu masih muda .
1239,1239,you re still green .,kamu itu masih bau kencur .
1240,1240,you re still young .,kamu itu masih muda .
1245,1245,are you on facebook ?,apa kau punya facebook ?
1251,1251,do you have any cds ?,apa kau memiliki cd ?
1252,1252,do you keep a diary ?,apa kamu menulis buku harian ?
1253,1253,do you like bowling ?,apakah kamu suka bowling ?
1254,1254,do you travel a lot ?,apakah anda banyak melakukan perjalanan ?
1255,1255,don t even go there .,jangan pernah pergi ke sana .
1256,1256,don t make me laugh .,jangan membuatku tertawa .
1257,1257,don t you feel cold ?,apakah kamu tidak merasa dingin .
1273,1273,i am about your age .,aku hampir seusia denganmu .
1274,1274,i am fed up with it .,aku sudah jenuh akan hal itu .
1275,1275,i am going with you .,aku akan pergi denganmu .
1276,1276,i am short of money .,aku kekurangan uang .
1312,1312,i m a lousy swimmer .,aku perenang yang payah .
1313,1313,i m counting on you .,aku mengandalkanmu .
1314,1314,i m fine thank you .,saya baik baik saja terima kasih .
1315,1315,i m grateful to you .,aku berterima kasih padamu .
1316,1316,i m tracking a buck .,saya sedang memburu seekor rusa jantan .
1317,1317,i m waiting for him .,aku sedang menunggunya .
1330,1330,it s an old picture .,itu adalah lukisan yang tua .
1331,1331,it s not my problem .,ini bukan masalahku .
1332,1332,it s rather curious .,ini agak aneh .
1333,1333,it s time to get up .,sudah waktunya bangun .
1368,1368,they re kind of fun .,mereka lumayan menyenangkan .
1369,1369,they re not illegal .,mereka bukan pendatang gelap .
1370,1370,they re still young .,mereka masih muda .
1386,1386,tom is mary s uncle .,tom adalah paman mary .
1387,1387,tom is a politician .,tom adalah seorang politikus .
1388,1388,tom is all business .,tom terlalu serius .
1389,1389,tom is having lunch .,tom sedang makan siang .
1390,1390,tom is ignoring you .,tom mengabaikanmu .
1391,1391,tom is in the house .,tom ada di dalam rumah .
1398,1398,tom says he ll come .,tom bilang ia akan datang .
1399,1399,tom shut the drawer .,tom menutup lacinya .
1400,1400,tom started to sing .,tom mulai bernyanyi .
1401,1401,tom was very scared .,tom sangat ketakutan .
1404,1404,tom s eyes are blue .,mata tom biru .
1405,1405,tom s eyes are blue .,tom matanya biru .
1406,1406,tom s face was pale .,muka tom pucat
1409,1409,we re eating apples .,kami sedang makan apel .
1411,1411,what are you eating ?,apa yang sedang kamu makan ?
1414,1414,what is on the desk ?,di atas meja ada apa ?
1415,1415,what is this called ?,disebut apa ini ?
1418,1418,what s your problem ?,apa masalahmu ?
1432,1432,where is the toilet ?,di manakah toilet ?
1433,1433,where is the toilet ?,di mana toiletnya ?
1435,1435,where s the airport ?,ada di mana bandaranya ?
1436,1436,where s the station ?,stasiunnya di mana ?
1437,1437,where s your jacket ?,mana jaketmu ?
1454,1454,you re going to die .,kau akan mati .
1457,1457,are you a vegetarian ?,apa kau nabatiwan ?
1458,1458,are you a vegetarian ?,apa kau seorang nabatiwan ?
1459,1459,are you conservative ?,apa kau konservatif ?
1460,1460,are you sure of that ?,apa kau yakin dengan hal itu ?
1461,1461,are your hands clean ?,apakah tanganmu sudah bersih ?
1474,1474,do you have any pets ?,apakah anda memiliki peliharaan ?
1475,1475,do you speak english ?,apa anda menggunakan bahasa inggris ?
1476,1476,don t make fun of me .,jangan mempermainkanku .
1477,1477,don t worry about me .,jangan khawatirkan aku .
1487,1487,he isn t here is he ?,dia tidak ada di sini kan ?
1491,1491,he s eating an apple .,dia sedang memakan sebuah apel .
1492,1492,he s under the chair .,dia ada di bawah kursi .
1498,1498,i am afraid of dying .,saya takut mati .
1499,1499,i am counting on you .,aku mengandalkanmu .
1500,1500,i am eating an apple .,saya sedang makan sebuah apel .
1501,1501,i am terribly hungry .,aku sangat lapar .
1536,1536,i m glad to meet you .,senang bertemu denganmu .
1537,1537,i m happy to be here .,saya senang berada disini .
1538,1538,i m not busy anymore .,aku tidak lagi sibuk .
1539,1539,i m not feeling well .,aku merasa tidak enak badan .
1540,1540,i m shorter than you .,aku lebih pendek ketimbang kamu .
1541,1541,i m washing my hands .,saya mencuci tangan .
1553,1553,it s a good question .,ini pertanyaan yang bagus
1554,1554,it s time to wake up .,sudah waktunya bangun .
1596,1596,they re all the same .,semuanya sama .
1610,1610,tom is a red sox fan .,tom adalah penggemar dari red sox .
1611,1611,tom is a good person .,tom adalah orang yang baik .
1612,1612,tom is a good worker .,tom adalah pekerja yang baik .
1613,1613,tom is a nice person .,tom adalah orang yang baik .
1614,1614,tom is conscientious .,tom adalah seorang yang teliti .
1615,1615,tom is older than me .,tom lebih tua ketimbang aku .
1616,1616,tom is the strongest .,tomlah yang terkuat .
1621,1621,tom seems bewildered .,tom sepertinya bimbang .
1622,1622,tom speaks very fast .,tom berbicara sangat cepat .
1623,1623,tom speaks very fast .,tom berbicara dengan sangat cepat .
1626,1626,tom was all worn out .,tom benar benar kelelahan .
1627,1627,tom was good at that .,tom sangat baik dalam hal itu .
1628,1628,tom was lying to you .,tom sudah berbohong padamu .
1640,1640,we re going to fight .,kita akan bertarung .
1641,1641,we re really married .,kami berdua benar benar sudah menikah .
1646,1646,what is your problem ?,apa masalahmu ?
1648,1648,what s our situation ?,bagaimana situasi kita ?
1661,1661,where is the station ?,ada di mana stasiunnya ?
1662,1662,where is the station ?,stasiunnya di mana ?
1663,1663,where is your jacket ?,di mana jaketmu ?
1665,1665,where s the restroom ?,di mana kamar kecilnya ?
1675,1675,you are new students .,kalian adalah para siswa baru .
1676,1676,you are the only one .,kaulah satu satunya .
1680,1680,you re not ready yet .,kamu belum siap .
1681,1681,you re totally right .,kau memang benar .
1687,1687,are you being serious ?,apa kau serius ?
1688,1688,are you in a bad mood ?,apa suasana hatimu sedang buruk ?
1689,1689,are you talking to me ?,apakah kau sedang bicara padaku ?
1690,1690,are you ten years old ?,apa umurmu tahun ?
1701,1701,do you have a bicycle ?,apakah kamu punya sepeda ?
1702,1702,do you have a bicycle ?,apakah anda punya sepeda ?
1703,1703,do you have a lighter ?,apa kau punya korek api ?
1704,1704,do you have a vacancy ?,apa ada kamar yang kosong ?
1705,1705,do you have some milk ?,apa kau punya susu ?
1706,1706,do you like surprises ?,apakah kamu menyukai kejutan ?
1707,1707,do you understand her ?,apa kamu mengerti dia ?
1710,1710,don t make me hit you .,jangan sampai aku memukulmu .
1711,1711,don t point at others .,jangan menuduh orang lain .
1712,1712,don t touch my camera .,jangan sentuh kameraku .
1725,1725,he is mad about music .,dia tergila gila soal musik .
1728,1728,he s eating lunch now .,dia sedang makan siang sekarang .
1729,1729,he s my older brother .,dia kakakku .
1730,1730,he s very intelligent .,dia sangat pintar .
1743,1743,i am glad to meet you .,senang bertemu denganmu .
1744,1744,i am shorter than you .,aku lebih pendek ketimbang kamu .
1791,1791,i m afraid to go home .,aku takut pulang ke rumah .
1792,1792,i m glad i could help .,saya senang bisa membantu .
1793,1793,i m glad you liked it .,aku senang kamu menyukainya .
1794,1794,i m going to kill you .,aku akan membunuhmu .
1795,1795,i m here as a tourist .,aku di sini sebagai seorang turis .
1796,1796,i m playing a tv game .,aku memainkan sebuah permainan di televisi .
1797,1797,i m still not certain .,aku masih belum yakin .
1808,1808,it seemed to be cheap .,sepertinya itu murah .
1809,1809,it seems well written .,ini kelihatan ditulis dengan rapi .
1811,1811,it s really happening .,itu benar benar terjadi .
1838,1838,she s eight years old .,dia delapan tahun .
1859,1859,they re eating apples .,mereka sedang memakan apel .
1879,1879,tom is always bananas .,tom selalu konyol .
1880,1880,tom is always healthy .,tom selalu sehat .
1881,1881,tom is bigger than me .,tom lebih besar ketimbang aku .
1882,1882,tom is reading a book .,tom sedang membaca buku .
1883,1883,tom is taller than me .,tom lebih tinggi daripada aku .
1884,1884,tom isn t the traitor .,tom bukanlah penghianat .
1888,1888,tom spoke up for mary .,tom berbicara untuk mary .
1889,1889,tom studies very hard .,tom sangat tekun belajar .
1890,1890,tom was quite helpful .,tom sudah cukup membantu .
1893,1893,we re on our way home .,kami sedang berada dalam perjalanan pulang .
1894,1894,we re still searching .,kami masih mencari .
1895,1895,what a waste of money !,buang buang duit aja !
1896,1896,what are you drinking ?,kamu minum apa ?
1904,1904,what s in your pocket ?,apa yang ada di dalam kantongmu ?
1905,1905,what s wrong with you ?,apa yang salah denganmu ?
1906,1906,what s wrong with you ?,ada apa denganmu ?
1907,1907,what s your last name ?,siapa nama belakangmu ?
1908,1908,what s your specialty ?,jurusanmu apa ?
1917,1917,where is my newspaper ?,di mana koranku ?
1918,1918,where is the bus stop ?,di mana tempat pemberhentian busnya ?
1919,1919,where s tom moving to ?,tom pindah ke mana ?
1920,1920,where s the newspaper ?,korannya mana ?
1935,1935,you re older than tom .,kamu lebih tua daripada tom .
1939,1939,are you coming with me ?,apa kamu mau ikut ?
1940,1940,are you speaking to me ?,apa kau bicara padaku ?
1948,1948,do you have any coffee ?,apa kau punya kopi ?
1949,1949,do you know the reason ?,apa kau tahu alasannya ?
1950,1950,do you like my t shirt ?,apakah kamu menyukai kaus oblong saya ?
1951,1951,do you study every day ?,apa kamu belajar setiap hari ?
1952,1952,don t be a wet blanket .,jangan suka mengganggu kesenangan orang lain .
1953,1953,don t underestimate me .,jangan meremehkanku .
1959,1959,he is blind in one eye .,sebelah matanya buta .
1960,1960,he isn t able to do it .,dia tidak mampu melakukannya .
1964,1964,he s going to sit here .,dia akan duduk di sini .
1967,1967,i am ashamed of myself .,aku malu pada diriku sendiri .
1968,1968,i am to meet him there .,saya akan bertemu dengannya di sana .
2013,2013,i m a realistic person .,aku adalah orang yang realistis .
2014,2014,i m anxious to see you .,aku ingin sekali bertemu denganmu .
2015,2015,i m dying to see paris .,aku sangat ingin melihat paris .
2016,2016,i m going to need help .,aku akan membutuhkan bantuan .
2017,2017,i m happy i could help .,saya senang bisa membantu .
2018,2018,i m happy to hear that .,saya senang mendengar hal itu .
2019,2019,i m not kidding around .,aku tidak sedang bercanda .
2020,2020,i m not messing around .,aku tidak sedang membuang buang waktu .
2021,2021,i m thinking about you .,aku memikirkan tentang dirimu .
2028,2028,it s entirely my fault .,seluruhnya adalah kesalahanku .
2029,2029,it s for you to decide .,itu terserah padamu .
2030,2030,it s like one of those .,ini seperti satu dari barang barang itu .
2031,2031,it s like one of those .,ini seperti satu dari mereka .
2032,2032,it s too noisy in here .,di sini terlalu berisik .
2047,2047,she is habitually late .,dia kebiasaan datang terlambat .
2049,2049,she shaved her armpits .,dia mencukur bulu ketiaknya .
2098,2098,tom is a buddy of mine .,tom adalah seorang kawanku .
2099,2099,tom is a good employee .,tom adalah pegawai yang baik .
2100,2100,tom is afraid of dying .,tom takut mati .
2101,2101,tom is alone with mary .,tom sedang berduaan dengan mary .
2102,2102,tom is beating up mary .,tom memukuli mary .
2103,2103,tom is getting jealous .,tom mulai cemburu .
2104,2104,tom is good at cooking .,tom pandai dalam hal memasak .
2105,2105,tom is looking for you .,tom sedang mencarimu .
2108,2108,tom says he s innocent .,tom berkata dia tidak bersalah .
2109,2109,tom set down his spoon .,tom meletakkan sendoknya .
2110,2110,tom should just resign .,tom sebaiknya mengundurkan diri .
2111,2111,tom stayed for a while .,tom tinggal selama beberapa waktu .
2113,2113,tom was a little drunk .,tom sedikit mabuk .
2114,2114,tom was very surprised .,tom sangat terkejut .
2121,2121,we re all very excited .,kami semua sangat bersemangat .
2122,2122,we re lucky aren t we ?,kita beruntung kan ?
2123,2123,we re lucky aren t we ?,kami beruntung kan ?
2130,2130,what is your name sir ?,siapa nama anda pak ?
2131,2131,what is your specialty ?,jurusanmu apa ?
2135,2135,what s your major tom ?,apa jurusanmu tom ?
2136,2136,what s your occupation ?,apa pekerjaanmu ?
2137,2137,what s your speciality ?,jurusanmu apa ?
