Run!	Lari!
Be careful!	Hati-hati!
Cut it out!	Sudah hentikan!
Cut it out.	Sudah hentikan.
Don't move!	Jangan bergerak!
Don't move.	Jangan bergerak.
Don't talk!	Jangan berbicara!
Duty calls.	Panggilan tugas.
Forget him.	Lupakan dirinya.
He coughed.	Dia batuk.
Hello, Tom.	Halo, Tom!
How boring!	Membosankan sekali!
I am bored.	Saya bosan.
I am bored.	Aku bosan.
I like him.	Aku suka dia.
I love you.	Aku cinta kamu.
I love you.	aku mencintaimu
I miss you.	Aku merindukanmu.
I miss you.	Aku rindu kamu.
I'm hiding.	Aku sedang sembunyi.
I'm hungry!	Aku lapar!
I'm hungry.	Saya lapar.
I'm hungry.	Aku lapar.
I'm sleepy!	Aku ngantuk!
Is Tom ill?	Apa Tom sakit?
Is it love?	Apakah ini cinta?
Is it true?	Apa itu benar?
Is that so?	Apa benar begitu?
It is cold.	Dingin.
It's night.	Sekarang malam.
It's weird.	Itu aneh.
It's weird.	Ini aneh.
Let me see.	Coba saya lihat.
Look at me.	Lihat saya.
No kidding?	Beneran?
No problem!	Tidak masalah!
No problem.	Tidak masalah.
Oh, really?	Oh, benarkah?
Step on it!	Cepatlah!
Step on it!	Cepat!
That's odd.	Itu aneh.
Tom did it.	Tom melakukannya.
Tom was OK.	Tom dalam keadaan baik.
Tom's home.	Tom di rumah.
Turn right.	Belok kanan.
Was he Tom?	Apakah dia Tom?
Who is Tom?	Tom itu siapa?
Are you cut?	Apa kau melakukan khitan?
Are you new?	Kamu orang baru?
Can you see?	Kamu masih belum mengerti?
Do you bowl?	Apa kau bermain boling?
Don't smoke.	Jangan merokok.
Don't worry.	Jangan khawatir
Go to sleep.	Pergilah tidur.
Grab a seat.	Duduklah.
Have a seat.	Duduklah.
He has wine.	Dia memiliki anggur.
He is alone.	Dia sendirian.
He's crying.	Dia sedang menangis.
How are you?	Apa kabar?
How are you?	Bagaimana kabar Anda?
I also went.	Saya juga pergi.
I am hungry.	Saya lapar.
I am hungry.	Aku lapar.
I felt dumb.	Aku merasa bodoh.
I like cats.	Aku suka kucing.
I like this.	Aku suka ini.
I need cash.	Aku perlu uang.
I thank you.	Aku berterima kasih.
I trust him.	Saya mempercayainya.
I want mine.	Aku mau punyaku.
I went, too.	Saya juga pergi.
I'm not shy.	Saya tidak malu.
I'm serious.	Aku serius.
I'm starved.	Aku kelaparan.
I'm thirsty.	Aku haus.
I'm too fat.	Aku terlalu gemuk.
I've failed.	Aku sudah gagal.
I've failed.	Aku telah gagal.
Is Tom sick?	Apa Tom sakit?
Is Tom well?	Apa Tom sehat?
It can't be!	Tidak mungkin!
It may rain.	Mungkin akan turun hujan.
It's a fake.	Itu palsu.
Let's do it!	Mari kita melakukannya!
Let's do it!	Mari kita lakukan!
Let's do it.	Mari kita lakukan.
Let's do it.	Mari kita melakukannya.
Let's party.	Mari berpesta.
Look at Tom.	Lihatlah ke arah Tom.
Many thanks.	Terima kasih banyak.
Many thanks.	Makasih banyak.
Please stop!	Tolong berhenti!
Please stop.	Tolong berhenti.
Say goodbye.	Ucapkan selamat tinggal.
She blushed.	Ia tersipu malu.
Take a seat.	Duduklah.
That's life.	Begitulah hidup.
This is Tom.	Ini Tom.
This is big.	Ini besar.
This is odd.	Ini aneh.
Tom fainted.	Tom pingsan.
Tom is rude.	Tom adalah seorang yang kasar.
Tom's flaky.	Tom itu suka berpangku tangan.
We help Tom.	Kami membantu Tom.
We know him.	Kami mengenalnya.
We'll fight.	Kita akan bertarung.
What a bore!	Membosankan sekali!
What a pity!	Sayang sekali!
What's that?	Itu apa?
What's this?	Ini apa?
Who drew it?	Siapa yang menggambar itu?
Whose is it?	Itu punya siapa?
You're thin.	Kamu kurus.
Are you sure?	Apakah kamu yakin?
Are you sure?	Apakah Anda yakin?
Are you sure?	Apa kau yakin?
Cut that out!	Hentikan itu!
Don't ask me.	Jangan tanya aku.
Don't kid me!	Jangan mempermainkanku!
Good morning.	Selamat pagi.
Has Tom gone?	Sudahkah Tom pergi?
How horrible!	Mengerikan sekali!
I am injured.	Aku terluka.
I don't care.	Saya tidak peduli.
I don't know.	Saya tidak tahu.
I must study.	Aku harus belajar.
I understand.	Aku mengerti.
I want to go.	Saya ingin pergi.
I'm famished.	Aku sangat lapar.
I'm not dumb.	Aku tidak dungu.
I'm not here.	Aku tidak berada di sini.
I'm not sure.	Aku tidak yakin.
I'm so sorry.	Saya sangat menyesal.
I'm starving!	Aku kelaparan!
I'm starving.	Aku kelaparan.
Is that true?	Apa itu benar?
Is this true?	Apa ini benar?
Is this true?	Apakah ini benar?
It is my cat.	Ini kucing saya.
It was a lie.	Itu bohong.
It was clear.	Tadi itu jelas.
It's my ship.	Ini kapalku.
It's no joke.	Ini bukan lelucon.
It's raining.	Sedang turun hujan.
It's strange.	Itu aneh.
It's strange.	Ini aneh.
Keep driving.	Teruslah mengemudi.
Keep reading.	Teruslah membaca.
Knock it off.	Sudah hentikan.
Let's try it.	Mari kita mencobanya.
No one cares.	Tidak ada satupun yang peduli.
Please hurry!	Cepatlah!
She is eight.	Dia delapan tahun.
Show me that.	Perlihatkan itu padaku.
Sweet dreams!	Mimpi indah!
Thanks a lot.	Terima kasih banyak.
Thanks a lot.	Makasih banyak.
That's great!	Itu bagus!
That's right!	Tepat sekali!
That's weird.	Itu aneh.
This is easy.	ini gampang
Tom hates me.	Tom membenciku.
Tom is tense.	Tom tidak tenang.
Tom needs it.	Tom membutuhkannya.
Tom saw them.	Tom melihat mereka.
Tom stutters.	Tom berbicara dengan gagap.
Tom was fine.	Tom dalam keadaan baik.
Tom was good.	Tom dalam keadaan baik.
Tom's polite.	Tom itu ramah.
Tom's strict.	Tom itu keras.
Try and swim!	Cobalah berenang!
Wait and see.	Lihat saja nanti!
We apologize.	Kami mohon maaf.
We'll fix it.	Kami akan memperbaikinya.
We're trying.	Kami sedang mencoba.
What is this?	Ini apa?
You're fools.	Kamu bodoh.
Any questions?	Ada pertanyaan?
Anything else?	Ada lagi?
Are you happy?	Apa kamu senang?
Are you happy?	Apa Anda bahagia?
Are you tired?	Kamu capek?
Check, please.	Tolong bonnya.
Come back now.	Kembalilah sekarang.
Do you get it?	Apa kamu paham?
Do you see it?	Apa kamu melihatnya?
Don't go away.	Jangan pergi.
Don't mock me.	Jangan mengejekku.
Eat something.	Makanlah sesuatu.
Feed the bird!	Beri makan burungnya!
Feed the bird.	Beri makan burungnya.
Get over here.	Kemari.
Get your gear.	Ambil perlengkapanmu.
Give it to me.	Berikan padaku.
God bless you!	Tuhan memberkatimu!
He seems sick.	Dia nampaknya sedang sakit.
He shot at me.	Dia menembak ke arahku.
Hold the rope.	Pegang tali itu.
How do you do?	Apa kabar?
How do you do?	Bagaimana kabar Anda?
I can do that.	Aku bisa melakukannya.
I can see Tom.	Aku bisa melihat Tom.
I can't do it.	Aku tidak bisa melakukannya.
I feel hungry.	Aku merasa lapar.
I hate Boston.	Aku benci Boston.
I have a home.	Aku punya tempat tinggal.
I have a twin.	Aku punya saudara kembar.
I have failed.	Aku sudah gagal.
I have failed.	Aku telah gagal.
I kid you not.	Aku tidak bercanda.
I looked away.	Aku memalingkan wajahku.
I must refuse.	Aku harus menolak.
I tricked you.	Aku menipumu.
I want to die.	Aku ingin mati.
I went inside.	Saya masuk ke dalam.
I'm not blind.	Saya tidak buta.
I'm on a diet.	Aku sedang melakukan diet.
I'm so hungry.	Aku sangat lapar.
Is it raining?	Apa sedang hujan?
Is that right?	Apa itu benar?
Is that wrong?	Apa itu salah?
It is raining.	Sedang turun hujan.
It was a hoax.	Itu cerita bohong.
It's for sale.	Ini dijual.
It's for sale.	Ini untuk dijual.
It's upstairs.	Ada di lantai atas.
Just trust me.	Sudah percaya saja padaku.
Let me see it.	Biarkan aku melihatnya.
Let me try it.	Biarkan aku mencobanya.
Let's do that.	Mari kita melakukannya.
Let's go back.	Ayo kembali.
Love is crazy.	Cinta itu gila.
No one saw us.	Tidak ada yang melihat kita.
Quiet, please.	Harap tenang.
She went home.	Dia pulang.
She went home.	Ia pulang.
Show it to me.	Perlihatkan itu padaku.
Stop dreaming.	Berhentilah bermimpi.
That was fast.	Tadi itu cepat.
That was good.	Itu tadi enak.
That was good.	Itu enak.
That's a fake.	Itu palsu.
That's absurd.	Itu konyol.
That's enough.	Itu cukup.
They will die.	Mereka akan mati.
This is a pen.	Ini pulpen.
This is silly.	Ini bodoh.
This is weird.	Ini aneh.
This was good.	Ini enak.
Tom blames us.	Tom menyalahkan kami.
Tom is cranky.	Tom bete.
Tom is immune.	Tom kebal.
Tom is polite.	Tom itu ramah.
Tom looks bad.	Tom terlihat buruk.
Tom was fired.	Tom dipecat.
Tom was happy.	Tom merasa bahagia.
Tom was lucky.	Tom beruntung.
We helped Tom.	Kami membantu Tom.
We need rules.	Kita membutuhkan aturan-aturan.
We will fight.	Kita akan bertarung.
We're leaving.	Kami berangkat.
What did I do?	Apa yang sudah kulakukan?
What happened?	Apa yang terjadi?
What is a UFO?	Apa itu UFO?
Which is mine?	Yang mana punyaku?
You all right?	Kamu tidak apa-apa?
You're sleepy.	Kamu ngantuk.
Are you asleep?	Kamu sudah tidur?
Are you hungry?	Apa kau lapar?
Are you joking?	Apa kau bercanda?
Can I help you?	Bisa saya bantu?
Can you see it?	Kamu masih belum mengerti?
Can you see it?	Kamu masih belum memahaminya?
Change is good.	Perubahan itu bagus.
Come back home.	Kembali ke rumah.
Come back soon.	Segeralah kembali.
Don't say that.	Jangan katakan itu!
Don't tease me.	Jangan menggodaku.
Don't you know?	Apa kamu tidak tahu?
Get out of bed!	Turun dari kasur!
Get out of bed!	Bangun dari tempat tidur!
Get out of bed.	Bangunlah dari tempat tidur.
Good afternoon.	Selamat siang.
Grab your gear.	Ambil perlengkapanmu.
Happy birthday!	Selamat ulang tahun!
He came by bus.	Dia datang dengan bus.
He looks young.	Dia terlihat muda.
He was perfect.	Dia sempurna.
How late is it?	Sudah terlambat berapa lamakah?
How late is it?	Sudah telat berapa lamakah?
How late is it?	Sudah telat berapa lama?
How much is it?	Berapa harganya?
I am a student.	Saya adalah seorang siswa.
I am in London.	Aku ada di London.
I go to school.	Saya pergi ke sekolah.
I hate dancing.	Aku benci menari.
I have a fever.	Saya demam.
I have a house.	Saya punya rumah.
I have no clue.	Aku tidak tahu sama sekali.
I have no time.	Saya tidak punya waktu.
I like lasagna.	Aku suka lasagna.
I love dessert.	Saya suka makanan penutup.
I love lasagna.	Aku suka lasagna.
I must decline.	Aku harus menolak.
I need a stamp.	Aku butuh perangko.
I need friends.	Saya butuh teman.
I want a puppy.	Aku ingin seekor anak anjing.
I wear glasses.	Saya memakai kacamata.
I'll need help.	Aku akan membutuhkan bantuan.
I'm a free man.	Aku adalah lelaki yang bebas.
I'm not a baby.	Saya bukan bayi.
I'm not joking.	Aku tidak bercanda.
I'm not joking.	Aku tidak sedang bercanda.
I'm not stupid.	Saya tidak bodoh.
I'm reasonable.	Aku orang yang rasional.
I'm sick of it.	Aku muak dengan hal itu.
I've moved out.	Aku sudah pindah.
It must be Tom.	Itu pasti Tom.
It's up to you.	Terserah padamu.
Keep Tom quiet.	Jaga agar Tom tetap diam.
Leave it to me.	Serahkan semuanya padaku.
Lying is wrong.	Berbohong adalah perbuatan yang salah.
Please stop it.	Tolong hentikan itu.
Rise and shine.	Bangunlah.
She is running.	Dia sedang lari
She looked ill.	Dia tampak sakit.
So let's do it.	Jadi mari kita lakukan.
Stop screaming.	Berhenti berteriak.
Take your time.	Santai saja.
Thanks a bunch.	Terima kasih banyak.
Thanks a bunch.	Makasih banyak.
Thanks so much.	Terima kasih banyak.
Thanks so much.	Makasih banyak.
That felt good.	Itu tadi enak.
That was a lie.	Itu bohong.
That was close.	Tadi itu hampir saja.
That's curious.	Itu aneh.
That's cyanide.	Itu sianida.
That's my line.	Harusnya aku yang bilang begitu.
That's unlucky.	Sayang sekali.
There is a cat.	Ada seekor kucing.
There is a cat.	Ada kucing.
This is absurd.	Ini konyol.
This is my cat.	Ini kucing saya.
This is so sad.	Ini sangat menyedihkan.
This isn't fun.	Ini tidak menyenangkan.
Time to get up.	Waktunya bangun.
Tom ignored me.	Tom mengabaikanku.
Tom is at home.	Tom ada di rumah.
Tom is jittery.	Tom gelisah.
Tom is nervous.	Tom gugup.
Tom isn't weak.	Tom tidak lemah.
Tom passed out.	Tom pingsan.
Tom was crying.	Tom menangis.
Tom was eating.	Tom sedang makan tadi.
Tom works hard.	Tom bekerja dengan keras.
Tom's not weak.	Tom tidak lemah.
We made a deal.	Kami membuat sebuah kesepakatan.
We'll be happy.	Kami akan senang.
We're credible.	Kami dapat dipercaya.
We're sociable.	Kami seorang yang mudah bergaul.
What's so hard?	Apa susahnya, sih?
Where were you?	Tadi kamu di mana?
Where were you?	Kamu di mana?
Where were you?	Tadi kau ada di mana?
Where's Boston?	Boston itu di mana?
Where's my car?	Mobilku mana?
Whose are they?	Itu punya siapa?
You have to go.	Kamu harus pergi.
Are these yours?	Apa ini milikmu?
Are we done yet?	Apa kita masih belum selesai?
Are you certain?	Apakah kamu yakin?
Are you certain?	Apakah Anda yakin?
Are you certain?	Apa kau yakin?
Are you in love?	Apa kamu sedang jatuh cinta?
Are you kidding?	Apa kau bercanda?
Are you serious?	Apa kau serius?
Call my husband.	Panggil suamiku.
Can I bring Tom?	Boleh aku mengajak Tom?
Can it be fixed?	Apa bisa dibetulkan?
Close that door.	Tutup pintu itu.
Congratulations!	Selamat!
Do you have one?	Apa kamu punya satu?
Do you see that?	Apa kamu melihatnya?
Do you see this?	Apa kamu melihat ini?
Do you think so?	Apa kamu pikir begitu?
Don't get drunk.	Jangan mabuk!
Don't stay here.	Jangan menetap di sini.
Enjoy your food.	Nikmati makananmu.
Enjoy your meal!	Nikmati makananmu!
Enjoy your meal.	Nikmati makananmu.
Finish studying.	Selesai belajar.
Get your things.	Ambil barang-barangmu.
Grab your stuff.	Ambil barangmu!
He has two cats.	Dia punya dua kucing.
He likes tigers.	Dia suka macan.
He looks gloomy.	Dia terlihat suram.
He seems hungry.	Dia sepertinya sedang lapar.
He was cheating.	Dia berselingkuh.
He's helping me.	Dia menolongku.
He's my brother.	Dia kakak laki-lakiku.
He's my brother.	Dia kakakku.
He's my brother.	Dia adikku.
Hi! How are you?	Hai! Bagaimana kabarmu?
Hi! How are you?	Hai! Apa kabar?
Hi. How are you?	Hai. Bagaimana kabarmu?
Hold on, please.	Tolong tunggu sebentar.
Hold the candle.	Pegang lilinnya!
How is it going?	Apa kabar?
I agree totally.	Saya sepenuhnya setuju.
I am from Spain.	Saya berasal dari Spanyol.
I appreciate it.	Aku mengapresiasinya.
I do understand.	Aku mengerti.
I don't see Tom.	Aku tidak melihat Tom.
I get the point.	Aku mengerti maksudmu.
I have to study.	Aku harus belajar.
I have two cars.	Aku memiliki dua buah mobil.
I have two cats.	Saya punya dua ekor kucing.
I haven't slept.	Saya belum tidur.
I heard yelling.	Aku mendengar suara teriakan.
I know the girl.	Aku tahu perempuan itu.
I like your car.	Aku suka mobilmu.
I love eggplant.	Aku suka terung.
I need to study.	Aku perlu belajar.
I owe you a lot.	Aku berutang banyak padamu.
I surprised Tom.	Aku mengangetkan Tom.
I totally agree.	Saya sepenuhnya setuju.
I'll be at home.	Aku akan di rumah.
I'll destroy it.	Aku akan menghancurkannya.
I'm almost done.	Aku hampir selesai.
I'm going to go.	Aku akan pergi.
I'm going to go.	Saya akan pergi.
I'm not kidding.	Aku tidak bercanda.
I'm not kidding.	Aku tidak sedang bercanda.
I'm tired of it.	Aku lelah dengan hal itu.
I'm very hungry.	Aku sangat lapar.
I'm your friend.	Aku temanmu.
I've had enough.	Aku sudah muak.
Is this correct?	Apa ini benar?
Is this correct?	Apakah ini benar?
It is up to you.	Terserah padamu.
It isn't enough.	Ini tidak cukup.
It isn't enough.	Itu tidak cukup.
It looked cheap.	Kelihatannya itu murah.
It was a thrill.	Tadi itu seru sekali.
It wasn't funny.	Ini tidak lucu.
It won't be fun.	Itu tidak akan menyenangkan.
It's no problem.	Tidak masalah.
It's not a joke.	Ini bukan lelucon.
It's not broken.	Ini tidak rusak.
It's not enough.	Ini tidak cukup.
It's not enough.	Itu tidak cukup.
It's ridiculous.	Ini konyol.
It's ridiculous.	Itu konyol.
It's time to go.	Sudah waktunya untuk pergi.
Let me check it.	Biarkan aku memeriksanya.
Let me see that.	Biarkan aku melihatnya.
Let's come back.	Ayo kembali.
Let's do it now.	Mari kita lakukan sekarang.
Let's turn back.	Ayo kembali.
Mistakes happen.	Kesalahan bisa terjadi.
Mom, I'm hungry.	Mama, aku lapar.
My house is big.	Rumahku besar.
Nature is cruel.	Alam itu kejam.
Never forget it.	Jangan lupakan itu!
Never tell lies.	Jangan pernah berbohong.
Now you're safe.	Sekarang Anda sudah aman.
Please fix that.	Tolong betulkan itu.
Please fix this.	Tolong betulkan ini.
Please sit down.	Silakan duduk.
Raise your hand.	Angkat tanganmu.
Read this first.	Baca ini dulu.
Rejection hurts.	Penolakan itu menyakitkan.
She married him.	Ia menikahinya.
She took it off.	Dia menanggalkannya.
She's assertive.	Ia tegas.
She's assertive.	Dia tegas.
Sorry, I forgot.	Maaf, saya melupakannya.
Thanks for this.	Terima kasih untuk ini.
That dog jumped.	Anjing itu lompat.
That isn't fair.	Itu tidak adil.
That's nonsense.	Itu omong kosong.
That's peculiar.	Itu aneh.
The book is red.	Buku itu berwarna merah.
They feared you.	Mereka takut padamu.
They left early.	Mereka pulang lebih awal.
They left early.	Mereka pergi lebih awal.
This is awkward.	Ini aneh.
This is my room.	Ini adalah kamarku.
This is my wife.	ini istriku.
This is natural.	Ini alami.
This is no joke.	Ini bukan lelucon.
This is on sale.	Ini dijual.
This is strange.	Ini aneh.
Tom blacked out.	Tom pingsan.
Tom is home now.	Tom sedang di rumah sekarang.
Tom is my buddy.	Tom adalah temanku.
Tom is very old.	Tom sangat tua.
Tom kept eating.	Tom terus makan.
Tom lied to you.	Tom berbohong padamu.
Tom looks upset.	Tom terlihat sedih.
Tom needs a cab.	Tom butuh taksi.
Tom needs water.	Tom butuh air.
Tom quit school.	Tom berhenti sekolah.
Tom seems upset.	Tom sepertinya sedih.
Tom was injured.	Tom telah terluka.
Tom was singing.	Tom sedang bernyanyi tadi.
Tom's concerned.	Tom khawatir.
Tom's dangerous.	Tom itu berbahaya.
Tom's my friend.	Tom itu temanku.
Wasn't it awful?	Bukankah itu mengerikan?
We captured Tom.	Kita menangkap Tom.
We did our best.	Kami melakukan yang terbaik.
We felt at home.	Kami merasa seperti di rumah.
We never forget.	Kami tidak pernah lupa.
We never forget.	Kita tidak pernah lupa.
We're ambitious.	Kami ambisius.
What's going on?	Ada apa?
What's happened?	Apa yang terjadi?
What's your job?	Apa pekerjaanmu?
What've you got?	Kalian punya apa?
What've you got?	Kalian dapat apa?
When can we eat?	Kapan kita bisa makan?
Where did he go?	Dia pergi ke mana?
Where did it go?	Ke mana perginya?
Where is my car?	Mobilku mana?
Where is my pen?	Di mana pulpenku?
Where were they?	Di mana mereka?
Where were they?	Di manakah mereka?
Who contributed?	Siapa yang berkontribusi?
Who is that boy?	Siapa anak itu?
Why did you ask?	Mengapa kamu bertanya?
Why is she here?	Kenapa dia ada di sini?
You look unsure.	Kamu terlihat tidak yakin.
Your time is up.	Waktumu sudah habis.
Anyone can do it.	Siapapun bisa melakukannya.
Are we all ready?	Apakah kita siap?
Are you for real?	Apa kau serius?
Are you positive?	Apa kamu sudah positif?
Are you sleeping?	Kamu lagi tidur?
Can you ski well?	Apa kamu bisa berski dengan baik?
Control yourself!	Kendalikan dirimu!
Control yourself.	Kendalikan dirimu.
Did she say that?	Dia tadi bilang begitu?
Did you have fun?	Apa kau bersenang-senang?
Did you have fun?	Apa kamu senang?
Do you cry often?	Apakah kamu sering menangis?
Do you live here?	Apakah kamu tinggal di sini?
Do you live here?	Apakah Anda tinggal di sini?
Don't you get it?	Apa kamu tidak mengerti?
Enough is enough.	Cukup cukup.
He can swim fast.	Dia dapat berenang dengan cepat.
He had few teeth.	Dia punya sedikit gigi.
He has a bicycle.	Dia memiliki sebuah sepeda.
He is my brother.	Dia adalah adikku.
He is my brother.	Dia adalah kakakku.
He is still here.	Dia masih di sini.
He ran into debt.	Dia mengambil pinjaman uang.
He was acquitted.	Dia dinyatakan tidak bersalah.
Here is your bag.	Ini dia tasmu.
Hold on a second.	Tunggu sebentar.
How about a bite?	Mau coba satu gigitan?
How could I know?	Bagaimana aku bisa mengetahuinya?
How does it look?	Bagaimana kelihatannya?
How tall are you?	Seberapa tinggi kamu?
How will it work?	Bagaimana cara kerjanya?
How would I know?	Bagaimana aku bisa mengetahuinya?
How're you doing?	Apa kabar?
I agree with you.	Aku setuju denganmu.
I also like cake.	Aku juga suka kue.
I am not kidding.	Aku tidak bercanda.
I am not kidding.	Aku tidak sedang bercanda.
I am only joking.	Saya hanya bergurau.
I am very hungry.	Aku sangat lapar.
I believe in you.	Aku percaya padamu.
I came yesterday.	Aku datang kemarin.
I can't say that.	Aku tidak bisa mengatakan itu.
I caught the flu.	Aku terkena flu.
I don't think so.	Aku rasa tidak.
I had a bad cold.	Aku kena flu berat.
I hope I survive.	Aku harap aku akan bertahan hidup.
I know only this.	Aku hanya tahu ini.
I know your name.	Aku tahu namamu.
I like chocolate.	Saya suka coklat.
I like red roses.	Aku suka mawar merah.
I like your hair.	Aku suka rambutmu.
I love chocolate.	Saya suka coklat.
I love this song.	Aku sangat suka lagu ini.
I love your hair.	Aku sangat suka rambutmu.
I made it myself.	Aku membuatnya sendiri.
I must leave now.	Saya harus pergi sekarang.
I play in a band.	Aku tergabung dalam sebuah kelompok musik.
I read the label.	Aku membaca labelnya.
I want to see it.	Aku ingin melihatnya.
I want you to go.	Aku ingin kamu pergi.
I was frightened.	Aku ketakutan.
I'll be with Tom.	Aku dengan Tom.
I'll go upstairs.	Aku akan naik ke lantai atas.
I'll go with you.	Aku akan pergi denganmu.
I'll take my car.	Aku akan mengambil mobilku.
I'm 18 years old.	Saya berusia 18 tahun.
I'm Tom's driver.	Saya supir Tom.
I'm a bookkeeper.	Aku seorang penata buku.
I'm an alcoholic.	Saya kecanduan alkohol.
I'm done working.	Aku sudah selesai bekerja.
I'm not a doctor.	Aku bukan dokter.
I'm not an idiot.	Saya bukan idiot.
I'm not bluffing.	Aku tidak sedang menggertakmu.
I'm proud of you.	Aku bangga padamu.
I'm sick of this.	Aku muak dengan hal ini.
I'm super hungry.	Aku sangat lapar.
I've got a fever.	Saya demam.
Is everything OK?	Apa semuanya baik-baik saja?
Is that your car?	Apakah itu mobilmu?
Is this accurate?	Apakah ini tepat?
It's a nice town.	Ini kota yang bagus.
It's not a trick.	Ini bukan tipuan.
It's on the sofa.	Itu ada di atas sofa.
It's very boring.	Ini sangat membosankan.
Let's cross here.	Mari menyeberang di sini.
Let's go back in.	Ayo masuk kembali ke dalam.
Let's have a try.	Mari kita coba.
Let's just do it.	Sudah ayo kita lakukan saja.
Let's live it up!	Mari bersenang-senang!
Let's run for it.	Ayo lari.
Listen carefully.	Dengarkan baik-baik.
Mary is graceful.	Mary adalah seorang yang anggun.
My dog likes you.	Anjingku menyukaimu.
My pulse is fast.	Denyut nadiku cepat.
My rifle's empty.	Senapanku kosong.
My stomach hurts.	Perutku sakit.
Nice to meet you.	Senang bertemu denganmu.
No one asked you.	Tidak ada yang bertanya padamu.
No one's perfect.	Tidak ada orang yang sempurna.
Nobody asked you.	Tidak ada yang bertanya padamu.
Nobody must know.	Tidak ada yang harus tahu.
Nobody's perfect.	Tidak ada orang yang sempurna.
Nothing happened.	Tak ada yang terjadi.
Please don't cry.	Janganlah menangis.
Please stop that.	Tolong hentikan itu.
Put on your coat.	Pakai jasmu.
Raise your hands.	Angkat tanganmu.
Shall we go home?	Mau pulang?
She has dry hair.	Dia memiliki rambut yang kering.
She is mad at me.	Dia marah padaku.
She is not young.	Dia tidak muda.
She's helping me.	Dia menolongku.
She's not a liar.	Dia bukan seorang pembohong.
Sit down, please.	Silakan duduk.
Stop daydreaming.	Berhentilah melamun.
Thank you kindly.	Terima kasih banyak.
Thanks a million.	Terima kasih banyak.
Thanks a million.	Makasih banyak.
Thanks very much.	Terima kasih banyak.
Thanks very much.	Makasih banyak.
That's wonderful.	Itu luar biasa.
The bill, please.	Tolong bonnya.
The box is empty.	Kotak itu kosong.
There's no proof.	Tidak ada bukti.
They both agreed.	Mereka berdua setuju.
This is nonsense.	Ini omong kosong.
This is puzzling.	Ini membingungkan.
Tom became blind.	Tom menjadi buta.
Tom has a butler.	Tom punya kepala pelayan.
Tom helped a lot.	Tom membantu banyak.
Tom hurt his leg.	Kaki Tom terluka.
